file,label,wavlm,xlsr,prosody,flow
Grabación (23).m4a,0,0.1263,0.3494,0.5833,0.1412
Grabación (24).m4a,0,0.1844,0.3622,0.9333,0.0004
Grabación (25).m4a,0,0.0568,0.3784,0.4865,0.0013
Grabación (26).m4a,0,0.0497,0.4682,0.7593,0.0006
Grabación (27).m4a,0,0.0,0.0052,0.9444,0.0109
Grabación (28).m4a,0,0.0,0.1294,0.3953,0.0001
Grabación (29).m4a,0,0.0323,0.0248,0.8395,0.0003
Grabación (4).m4a,0,0.0,0.013,0.1121,0.0013
Grabación (5).m4a,0,0.0018,0.0007,0.8395,0.0317
alonso_real.m4a,0,0.0,0.0464,0.348,0.0193
emilio_real.m4a,0,0.0,0.0071,0.9444,0.0004
ref_alonso.wav,0,0.0,0.0503,0.348,0.0211
ref_emilio.wav,0,0.0,0.0076,0.9444,0.0005
clon_alonso.wav,1,0.6969,0.6255,0.3214,0.0073
clon_emilio.wav,1,0.2376,0.0014,0.1201,0.0052
clon_grabacion_23.wav,1,0.4653,0.8945,0.1626,0.1037
clon_grabacion_24.wav,1,1.0,1.0,0.3192,0.5645
clon_grabacion_25.wav,1,0.9835,0.9994,0.4018,0.9653
clon_grabacion_26.wav,1,1.0,0.9998,0.3325,0.8241
clon_grabacion_27.wav,1,0.0095,0.004,0.1626,0.0003
clon_grabacion_28.wav,1,0.8419,0.9773,0.1626,0.6707
clon_grabacion_29.wav,1,0.8809,0.9623,0.2369,0.6555
clon_grabacion_4.wav,1,0.0832,0.5349,0.0,0.0814
clon_grabacion_5.wav,1,0.6848,0.0428,0.8395,0.5011
